"icd","icddesc","icdvers","icddate","hcc","rxhcc","inhcc","inrxhcc","year"
"0031","Salmonella Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"00322","Salmonella Pneumonia",9,1/1/1991,"112",,"Yes","No",2007
"00323","Salmonella Arthritis",9,1/1/1991,"37","39","Yes","Yes",2007
"00324","Salmonella Osteomyelitis",9,1/1/1991,"37","39","Yes","Yes",2007
"0064","Amebic Lung Abscess",9,1/1/1991,"112","112","Yes","Yes",2007
"0066","Amebic Skin Ulceration",9,1/1/1991,,"159","No","Yes",2007
"0074","Cryptosporidiosis",9,10/1/1998,"5","2","Yes","Yes",2007
"0201","Cellulocutaneous Plague",9,1/1/1991,,"159","No","Yes",2007
"0202","Septicemic Plague",9,1/1/1991,"2",,"Yes","No",2007
"0203","Primary Pneumonic Plague",9,1/1/1991,"112",,"Yes","No",2007
"0204","Secondary Pneumon Plague",9,1/1/1991,"112",,"Yes","No",2007
"0205","Pneumonic Plague Nos",9,1/1/1991,"112",,"Yes","No",2007
"0212","Pulmonary Tularemia",9,1/1/1991,"112",,"Yes","No",2007
"0220","Cutaneous Anthrax",9,1/1/1991,,"159","No","Yes",2007
"0221","Pulmonary Anthrax",9,1/1/1991,"112",,"Yes","No",2007
"0223","Anthrax Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"0310","Pulmonary Mycobacteria",9,1/1/1991,"5","2","Yes","Yes",2007
"0311","Cutaneous Mycobacteria",9,1/1/1991,,"159","No","Yes",2007
"0312","Dmac Bacteremia",9,10/1/1998,"5","2","Yes","Yes",2007
"03283","Diphtheritic Peritonitis",9,1/1/1991,"31",,"Yes","No",2007
"03285","Cutaneous Diphtheria",9,1/1/1991,,"159","No","Yes",2007
"035","Erysipelas",9,1/1/1991,,"159","No","Yes",2007
"0362","Meningococcemia",9,1/1/1991,"2",,"Yes","No",2007
"0363","Meningococc Adrenal Synd",9,1/1/1991,,"20","No","Yes",2007
"03682","Meningococc Arthropathy",9,1/1/1991,"37","39","Yes","Yes",2007
"038","Septicemia*",9,1/1/1991,"2",,"Yes","No",2007
"0380","Streptococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"0381","Staphylococc Septicemia*",9,1/1/1991,"2",,"Yes","No",2007
"03810","Staphylcocc Septicem Nos",9,10/1/1998,"2",,"Yes","No",2007
"03811","Staph Aureus Septicemia",9,10/1/1998,"2",,"Yes","No",2007
"03812","MRSA SEPTICEMIA",9,10/1/2008,"2",,"No","No",2007
"03819","Staphylcocc Septicem Nec",9,10/1/1998,"2",,"Yes","No",2007
"0382","Pneumococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"0383","Anaerobic Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"0384","Gram-Neg Septicemia Nec*",9,1/1/1991,"2",,"Yes","No",2007
"03840","Gram-Neg Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2007
"03841","H. Influenae Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"03842","E Coli Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"03843","Pseudomonas Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"03844","Serratia Septicemia",9,1/1/1991,"2",,"Yes","No",2007
"03849","Gram-Neg Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2007
"0388","Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2007
"0389","Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2007
"0390","Cutaneous Actinomycosis",9,1/1/1991,,"159","No","Yes",2007
"0391","Pulmonary Actinomycosis",9,1/1/1991,"112",,"Yes","No",2007
"0400","Gas Gangrene",9,1/1/1991,"104","106","Yes","Yes",2007
"0402","Whipple'S Disease",9,1/1/1991,"32","31","Yes","Yes",2007
"04082","Toxic Shock Syndrome",9,10/1/2002,"2",,"Yes","No",2007
"042","Human Immuno Virus Dis",9,1/1/1991,"1","1","Yes","Yes",2007
"046","Cns Slow Virus Infection*",9,1/1/1991,,"60","No","Yes",2007
"0460","Kuru",9,1/1/1991,,"60","No","Yes",2007
"0461","Jakob-Creutzfeldt Dis",9,1/1/1991,,"60","No","Yes",2007
"04611","VARNT CREUTZFELDT-JAKOB",9,10/1/2008,,"60","No","No",2007
"04619","CREUTZFLDT-JAKOB NEC/NOS",9,10/1/2008,,"60","No","No",2007
"0462","Subac Scleros Panenceph",9,1/1/1991,,"60","No","Yes",2007
"0463","Prog Multifoc Leukoencep",9,1/1/1991,,"60","No","Yes",2007
"04671","GERSTMN-STRAUS-SCHNK SYN",9,10/1/2008,,"60","No","No",2007
"04672","FATAL FAMILIAL INSOMNIA",9,10/1/2008,,"60","No","No",2007
"04679","PRION DIS OF CNS NEC/NOS",9,10/1/2008,,"60","No","No",2007
"0468","Cns Slow Virus Infec Nec",9,1/1/1991,,"60","No","Yes",2007
"0469","Cns Slow Virus Infec Nos",9,1/1/1991,,"60","No","Yes",2007
"0522","Postvaricella myelitis",9,10/1/2006,,"87","No","Yes",2007
"0531","Oth H Zoster Nerv Syst*",9,1/1/1991,,"86","No","Yes",2007
"05310","H Zoster Nerv Syst Nos",9,1/1/1991,,"86","No","Yes",2007
"05311","Geniculate Herpes Zoster",9,1/1/1991,,"86","No","Yes",2007
"05312","Postherpes Trigem Neural",9,1/1/1991,,"86","No","Yes",2007
"05313","Postherpes Polyneuropath",9,1/1/1991,,"86","No","Yes",2007
"05314","Herpes zoster myelitis",9,10/1/2006,,"87","No","Yes",2007
"05319","H Zoster Nerv Syst Nec",9,1/1/1991,,"86","No","Yes",2007
"054","Herpes Simplex*",9,1/1/1991,,"3","No","Yes",2007
"0540","Eczema Herpeticum",9,1/1/1991,,"3","No","Yes",2007
"0541","Genital Herpes*",9,1/1/1991,,"3","No","Yes",2007
"05410","Genital Herpes Nos",9,1/1/1991,,"3","No","Yes",2007
"05411","Herpetic Vulvovaginitis",9,1/1/1991,,"3","No","Yes",2007
"05412","Herpetic Ulcer Of Vulva",9,1/1/1991,,"3","No","Yes",2007
"05413","Herpetic Infect Of Penis",9,1/1/1991,,"3","No","Yes",2007
"05419","Genital Herpes Nec",9,1/1/1991,,"3","No","Yes",2007
"0542","Herpetic Gingivostomat",9,1/1/1991,,"3","No","Yes",2007
"0544","Herpes Simplex Of Eye*",9,1/1/1991,,"3","No","Yes",2007
"05440","Herpes Simplex Eye Nos",9,1/1/1991,,"3","No","Yes",2007
