"icd","icddesc","icdvers","icddate","hcc","rxhcc","inhcc","inrxhcc","year"
"0031","Salmonella Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"00322","Salmonella Pneumonia",9,1/1/1991,"112",,"Yes","No",2009
"00323","Salmonella Arthritis",9,1/1/1991,"37","39","Yes","Yes",2009
"00324","Salmonella Osteomyelitis",9,1/1/1991,"37","39","Yes","Yes",2009
"0064","Amebic Lung Abscess",9,1/1/1991,"112","112","Yes","Yes",2009
"0066","Amebic Skin Ulceration",9,1/1/1991,,"159","No","Yes",2009
"0074","Cryptosporidiosis",9,10/1/1998,"5","2","Yes","Yes",2009
"0201","Cellulocutaneous Plague",9,1/1/1991,,"159","No","Yes",2009
"0202","Septicemic Plague",9,1/1/1991,"2",,"Yes","No",2009
"0203","Primary Pneumonic Plague",9,1/1/1991,"112",,"Yes","No",2009
"0204","Secondary Pneumon Plague",9,1/1/1991,"112",,"Yes","No",2009
"0205","Pneumonic Plague Nos",9,1/1/1991,"112",,"Yes","No",2009
"0212","Pulmonary Tularemia",9,1/1/1991,"112",,"Yes","No",2009
"0220","Cutaneous Anthrax",9,1/1/1991,,"159","No","Yes",2009
"0221","Pulmonary Anthrax",9,1/1/1991,"112",,"Yes","No",2009
"0223","Anthrax Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"0310","Pulmonary Mycobacteria",9,1/1/1991,"5","2","Yes","Yes",2009
"0311","Cutaneous Mycobacteria",9,1/1/1991,,"159","No","Yes",2009
"0312","Dmac Bacteremia",9,10/1/1998,"5","2","Yes","Yes",2009
"03283","Diphtheritic Peritonitis",9,1/1/1991,"31",,"Yes","No",2009
"03285","Cutaneous Diphtheria",9,1/1/1991,,"159","No","Yes",2009
"035","Erysipelas",9,1/1/1991,,"159","No","Yes",2009
"0362","Meningococcemia",9,1/1/1991,"2",,"Yes","No",2009
"0363","Meningococc Adrenal Synd",9,1/1/1991,,"20","No","Yes",2009
"03682","Meningococc Arthropathy",9,1/1/1991,"37","39","Yes","Yes",2009
"038","Septicemia*",9,1/1/1991,"2",,"No","No",2009
"0380","Streptococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"0381","Staphylococc Septicemia*",9,1/1/1991,"2",,"No","No",2009
"03810","Staphylcocc Septicem Nos",9,10/1/1998,"2",,"Yes","No",2009
"03811","Staph Aureus Septicemia",9,10/1/1998,"2",,"Yes","No",2009
"03812","MRSA SEPTICEMIA",9,10/1/2008,"2",,"Yes","No",2009
"03819","Staphylcocc Septicem Nec",9,10/1/1998,"2",,"Yes","No",2009
"0382","Pneumococcal Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"0383","Anaerobic Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"0384","Gram-Neg Septicemia Nec*",9,1/1/1991,"2",,"No","No",2009
"03840","Gram-Neg Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2009
"03841","H. Influenae Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"03842","E Coli Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"03843","Pseudomonas Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"03844","Serratia Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"03849","Gram-Neg Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2009
"0388","Septicemia Nec",9,1/1/1991,"2",,"Yes","No",2009
"0389","Septicemia Nos",9,1/1/1991,"2",,"Yes","No",2009
"0390","Cutaneous Actinomycosis",9,1/1/1991,,"159","No","Yes",2009
"0391","Pulmonary Actinomycosis",9,1/1/1991,"112",,"Yes","No",2009
"0400","Gas Gangrene",9,1/1/1991,"104","106","Yes","Yes",2009
"0402","Whipple'S Disease",9,1/1/1991,"32","31","Yes","Yes",2009
"04082","Toxic Shock Syndrome",9,10/1/2002,"2",,"Yes","No",2009
"042","Human Immuno Virus Dis",9,1/1/1991,"1","1","Yes","Yes",2009
"046","Cns Slow Virus Infection*",9,1/1/1991,,"60","No","No",2009
"0460","Kuru",9,1/1/1991,,"60","No","Yes",2009
"0461","Jakob-Creutzfeldt Dis",9,1/1/1991,,"60","No","Yes",2009
"04611","VARNT CREUTZFELDT-JAKOB",9,10/1/2008,,"60","No","Yes",2009
"04619","CREUTZFLDT-JAKOB NEC/NOS",9,10/1/2008,,"60","No","Yes",2009
"0462","Subac Scleros Panenceph",9,1/1/1991,,"60","No","Yes",2009
"0463","Prog Multifoc Leukoencep",9,1/1/1991,,"60","No","Yes",2009
"04671","GERSTMN-STRAUS-SCHNK SYN",9,10/1/2008,,"60","No","Yes",2009
"04672","FATAL FAMILIAL INSOMNIA",9,10/1/2008,,"60","No","Yes",2009
"04679","PRION DIS OF CNS NEC/NOS",9,10/1/2008,,"60","No","Yes",2009
"0468","Cns Slow Virus Infec Nec",9,1/1/1991,,"60","No","Yes",2009
"0469","Cns Slow Virus Infec Nos",9,1/1/1991,,"60","No","Yes",2009
"0522","Postvaricella myelitis",9,10/1/2006,,"87","No","Yes",2009
"0531","Oth H Zoster Nerv Syst*",9,1/1/1991,,"86","No","No",2009
"05310","H Zoster Nerv Syst Nos",9,1/1/1991,,"86","No","Yes",2009
"05311","Geniculate Herpes Zoster",9,1/1/1991,,"86","No","Yes",2009
"05312","Postherpes Trigem Neural",9,1/1/1991,,"86","No","Yes",2009
"05313","Postherpes Polyneuropath",9,1/1/1991,,"86","No","Yes",2009
"05314","Herpes zoster myelitis",9,10/1/2006,,"87","No","Yes",2009
"05319","H Zoster Nerv Syst Nec",9,1/1/1991,,"86","No","Yes",2009
"054","Herpes Simplex*",9,1/1/1991,,"3","No","No",2009
"0540","Eczema Herpeticum",9,1/1/1991,,"3","No","Yes",2009
"0541","Genital Herpes*",9,1/1/1991,,"3","No","No",2009
"05410","Genital Herpes Nos",9,1/1/1991,,"3","No","Yes",2009
"05411","Herpetic Vulvovaginitis",9,1/1/1991,,"3","No","Yes",2009
"05412","Herpetic Ulcer Of Vulva",9,1/1/1991,,"3","No","Yes",2009
"05413","Herpetic Infect Of Penis",9,1/1/1991,,"3","No","Yes",2009
"05419","Genital Herpes Nec",9,1/1/1991,,"3","No","Yes",2009
"0542","Herpetic Gingivostomat",9,1/1/1991,,"3","No","Yes",2009
"0544","Herpes Simplex Of Eye*",9,1/1/1991,,"3","No","No",2009
"05440","Herpes Simplex Eye Nos",9,1/1/1991,,"3","No","Yes",2009
"05441","Herpes Simplex Of Eyelid",9,1/1/1991,,"3","No","Yes",2009
"05442","Dendritic Keratitis",9,1/1/1991,,"3","No","Yes",2009
"05443","H Simplex Keratitis",9,1/1/1991,,"3","No","Yes",2009
"05449","Herpes Simplex Eye Nec",9,1/1/1991,,"3","No","Yes",2009
"0545","Herpetic Septicemia",9,1/1/1991,"2",,"Yes","No",2009
"0546","Herpetic Whitlow",9,1/1/1991,,"3","No","Yes",2009
"0547","Oth Complicat H Simplex*",9,1/1/1991,,"3","No","No",2009
"05471","Visceral Herpes Simplex",9,1/1/1991,,"3","No","Yes",2009
"05473","H Simplex Otitis Externa",9,1/1/1991,,"3","No","Yes",2009
"05474","Herpes simplex myelitis",9,10/1/2006,,"87","No","Yes",2009
"05479","H Simplex Complicat Nec",9,1/1/1991,,"3","No","Yes",2009
"0548","H Simplex Complicat Nos",9,1/1/1991,,"3","No","Yes",2009
"0549","Herpes Simplex Nos",9,1/1/1991,,"3","No","Yes",2009
"05671","Arthritis Due To Rubella",9,1/1/1991,"37","39","Yes","Yes",2009
"07022","Hpt B Chrn Coma Wo Dlta",9,1/1/1991,"27","24","Yes","Yes",2009
"07023","Hpt B Chrn Coma W Dlta",9,1/1/1991,"27","24","Yes","Yes",2009
"07032","Hpt B Chrn Wo Cm Wo Dlta",9,1/1/1991,"27","24","Yes","Yes",2009
"07033","Hpt B Chrn Wo Cm W Dlta",9,1/1/1991,"27","24","Yes","Yes",2009
"07044","Chrnc Hpt C W Hepat Coma",9,1/1/1991,"27","24","Yes","Yes",2009
"07054","Chrnc Hpt C Wo Hpat Coma",9,1/1/1991,"27","24","Yes","Yes",2009
"0723","Mumps Pancreatitis",9,1/1/1991,"32",,"Yes","No",2009
"0785","Cytomegaloviral Disease",9,1/1/1991,"5","2","Yes","Yes",2009
"0786","Hem Nephrosonephritis",9,1/1/1991,"132","135","Yes","Yes",2009
"07953","Hiv-2 Infection Oth Dis",9,1/1/1991,"1","1","Yes","Yes",2009
"09487","Syph Rupt Cereb Aneurysm",9,1/1/1991,"95","102","Yes","Yes",2009
"0985","Gonococcal Infect Joint*",9,1/1/1991,"37","39","No","No",2009
"09850","Gonococcal Arthritis",9,1/1/1991,"37","39","Yes","Yes",2009
"09851","Gonococcal Synovitis",9,1/1/1991,"37","39","Yes","Yes",2009
"09852","Gonococcal Bursitis",9,1/1/1991,"37","39","Yes","Yes",2009
"09853","Gonococcal Spondylitis",9,1/1/1991,"37","39","Yes","Yes",2009
"09859","Gc Infect Joint Nec",9,1/1/1991,"37","39","Yes","Yes",2009
"09886","Gonococcal Peritonitis",9,1/1/1991,"31",,"Yes","No",2009
"1026","Yaws Of Bone & Joint",9,1/1/1991,"37","39","Yes","Yes",2009
"1120","Thrush",9,1/1/1991,,"3","No","Yes",2009
"1121","Candidal Vulvovaginitis",9,1/1/1991,,"144","No","Yes",2009
"1124","Candidiasis Of Lung",9,1/1/1991,"5","2","Yes","Yes",2009
"1125","Disseminated Candidiasis",9,1/1/1991,"5","2","Yes","Yes",2009
"11284","Candidal Esophagitis",9,1/1/1991,"5","2","Yes","Yes",2009
"114","Coccidioidomycosis*",9,1/1/1991,,"3","No","No",2009
"1140","Primary Coccidioidomycos",9,1/1/1991,"112","112","Yes","Yes",2009
"1141","Prim Cutan Coccidioid",9,1/1/1991,,"3","No","Yes",2009
"1143","Progress Coccidioid Nec",9,1/1/1991,,"3","No","Yes",2009
"1144","Ch Pl Coccidioidomycosis",9,1/1/1991,"112","112","Yes","Yes",2009
"1145","Pl Cocidioidomycosis Nos",9,1/1/1991,"112","112","Yes","Yes",2009
